basket_size,order_count,rank,share_pct,cum_share_pct
5,228330,1,7.10230012124892,7.10230012124892
6,227675,2,7.081926072374842,14.184226193623761
4,222081,3,6.9079223633647855,21.092148556988548
7,220006,4,6.8433786207484335,27.93552717773698
3,207027,5,6.439661398860422,34.3751885765974
8,203374,6,6.326033306437515,40.70122188303492
2,186993,7,5.816495452076816,46.51771733511173
9,184347,8,5.7341905157091695,52.2519078508209
10,165550,9,5.149501971150347,57.40140982197124
1,156748,10,4.875712080784504,62.277121902755745
11,147461,11,4.586836062626404,66.86395796538216
12,131580,12,4.092850917329886,70.95680888271204
13,116871,13,3.635321322079808,74.59213020479184
14,103683,14,3.2251030678029684,77.8172332725948
15,91644,15,2.850624938955617,80.66785821155042
16,81192,16,2.5255111086779762,83.1933693202284
17,71360,17,2.21968263763992,85.41305195786832
18,62629,18,1.9481012319611903,87.36115318982951
19,54817,19,1.7051057055424257,89.06625889537193
20,48096,20,1.496046190301704,90.56230508567363
21,41863,21,1.3021661191076228,91.86447120478125
22,36368,22,1.131241846492273,92.99571305127353
23,31672,23,0.9851708029614846,93.98088385423502
24,27065,24,0.8418681416441204,94.82275199587914
25,23613,25,0.7344922382650144,95.55724423414416
26,20283,26,0.6309111958975686,96.18815543004173
27,17488,27,0.5439715522287966,96.73212698227053
28,15102,28,0.46975402457452453,97.20188100684506
29,13033,29,0.4053969144669433,97.607277921312
30,11251,30,0.34996705936220207,97.9572449806742
31,9571,31,0.2977099569065537,98.25495493758076
32,8035,32,0.24993203466138952,98.50488697224215
33,6991,33,0.21745797813537948,98.72234495037753
34,6041,34,0.1879078309134355,98.91025278129096
35,5164,35,0.16062837921486192,99.07088116050582
36,4407,36,0.1370815776916918,99.20796273819751
37,3681,37,0.11449904413050091,99.322461782328
38,3169,38,0.09857307004877952,99.42103485237679
39,2653,39,0.08252267429454467,99.50355752667134
40,2272,40,0.0706715099876387,99.57422903665898
41,1978,41,0.06152651705790025,99.63575555371688
42,1642,42,0.05107509656677058,99.68683065028365
43,1412,43,0.043920850397247295,99.7307515006809
44,1227,44,0.0381663480435003,99.7689178487244
45,1048,45,0.03259847819852349,99.80151632692292
46,895,46,0.027839349224884086,99.82935567614781
47,743,47,0.023111325669373045,99.85246700181719
48,608,48,0.01891209422204416,99.87137909603923
49,563,49,0.017512350406267866,99.8888914464455
50,491,50,0.015272760301025794,99.90416420674653
51,394,51,0.01225553474257467,99.91641974148911
52,348,52,0.010824685508670013,99.92724442699777
53,288,53,0.008958360420968287,99.93620278741874
54,275,54,0.00855398998529958,99.94475677740404
55,224,55,0.006967613660753112,99.95172439106479
56,175,56,0.005443448172463368,99.95716783923724
58,165,57,0.0051323939911797475,99.96230023322842
57,159,58,0.004945761482409575,99.96724599471082
60,121,59,0.003763755593531815,99.97100975030435
59,119,60,0.003701544757275091,99.97471129506162
61,100,61,0.0031105418128362108,99.97782183687445
62,79,62,0.0024573280321406065,99.98027916490659
63,67,63,0.0020840630146002613,99.9823632279212
64,57,64,0.00177300883331664,99.98413623675451
65,53,65,0.0016485871608031917,99.98578482391531
66,49,66,0.0015241654882897433,99.9873089894036
67,44,67,0.0013686383976479327,99.98867762780125
68,39,68,0.0012131113070061221,99.98989073910826
70,33,69,0.0010264787982359495,99.9909172179065
71,30,70,0.0009331625438508632,99.99185038045034
74,24,71,0.0007465300350806905,99.99259691048543
69,24,72,0.0007465300350806905,99.99334344052052
72,23,73,0.0007154246169523285,99.99405886513748
73,22,74,0.0006843191988239664,99.9947431843363
77,15,75,0.0004665812719254316,99.99520976560822
76,11,76,0.0003421595994119832,99.99555192520764
84,10,77,0.00031105418128362104,99.99586297938892
75,9,78,0.00027994876315525895,99.99614292815207
78,9,79,0.00027994876315525895,99.99642287691522
92,9,80,0.00027994876315525895,99.99670282567837
82,9,81,0.00027994876315525895,99.99698277444152
88,7,82,0.00021773792689853475,99.99720051236842
86,7,83,0.00021773792689853475,99.99741825029533
79,7,84,0.00021773792689853475,99.99763598822223
80,7,85,0.00021773792689853475,99.99785372614913
81,5,86,0.00015552709064181052,99.99800925323977
85,5,87,0.00015552709064181052,99.99816478033041
83,4,88,0.00012442167251344843,99.99828920200292
98,4,89,0.00012442167251344843,99.99841362367543
95,4,90,0.00012442167251344843,99.99853804534794
93,4,91,0.00012442167251344843,99.99866246702045
100,4,92,0.00012442167251344843,99.99878688869296
91,4,93,0.00012442167251344843,99.99891131036547
89,4,94,0.00012442167251344843,99.99903573203798
87,4,95,0.00012442167251344843,99.99916015371049
96,3,96,9.331625438508632e-05,99.99925346996487
102,3,97,9.331625438508632e-05,99.99934678621925
99,2,98,6.221083625672422e-05,99.99940899705551
101,2,99,6.221083625672422e-05,99.99947120789177
104,2,100,6.221083625672422e-05,99.99953341872803
108,2,101,6.221083625672422e-05,99.9995956295643
109,2,102,6.221083625672422e-05,99.99965784040056
115,1,103,3.110541812836211e-05,99.99968894581869
137,1,104,3.110541812836211e-05,99.99972005123682
127,1,105,3.110541812836211e-05,99.99975115665495
121,1,106,3.110541812836211e-05,99.99978226207308
116,1,107,3.110541812836211e-05,99.99981336749121
105,1,108,3.110541812836211e-05,99.99984447290934
114,1,109,3.110541812836211e-05,99.99987557832748
112,1,110,3.110541812836211e-05,99.9999066837456
94,1,111,3.110541812836211e-05,99.99993778916374
90,1,112,3.110541812836211e-05,99.99996889458187
145,1,113,3.110541812836211e-05,100.0
